"timestamp (abs)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
1799,500,0,0,0,0,1
1800,500,0,0,0,1,1
1801,500,0,0,0,1,0
1802,500,0,0,0,1,1
1808,500,0,0,0,0,1
1809,500,0,0,0,1,1
1821,500,0,0,0,1,0
1822,500,0,0,0,1,1
1824,500,0,0,0,0,1
1825,500,0,0,0,1,1
1832,500,0,0,0,1,0
1833,500,0,0,0,1,1
1839,500,0,0,0,0,1
1840,500,0,0,0,1,1
1842,500,0,0,0,1,0
1843,500,0,0,0,1,1
1851,500,0,0,0,1,0
1853,500,0,0,0,1,1
1856,500,0,0,0,0,1
1857,500,0,0,0,1,1
1862,500,0,0,0,1,0
1863,500,0,0,0,1,1
1864,500,0,0,0,0,1
1865,500,0,0,0,1,1
1871,500,0,0,0,1,0
1873,500,0,0,0,1,1
1878,500,0,0,0,0,1
1879,500,0,0,0,1,1
1882,500,0,0,0,1,0
1883,500,0,0,0,1,1
1887,500,0,0,0,0,1
1888,500,0,0,0,1,1
1892,500,0,0,0,1,0
1893,500,0,0,0,1,1
1894,500,0,0,0,0,1
1896,500,0,0,0,1,1
1901,500,0,0,0,1,0
1903,500,0,0,0,1,1
1910,500,0,0,0,0,1
1911,500,0,0,0,1,0
1913,500,0,0,0,1,1
1918,500,0,0,0,0,1
1919,500,0,0,0,1,1
1921,500,0,0,0,1,0
1923,500,0,0,0,1,1
1932,500,0,0,0,1,0
1933,500,0,0,0,1,1
1934,500,0,0,0,0,1
1935,500,0,0,0,1,1
1952,500,0,0,0,1,0
1953,500,0,0,0,1,1
1957,500,0,0,0,0,1
1958,500,0,0,0,1,1
1966,500,0,0,0,0,1
1967,500,0,0,0,1,1
1973,500,0,0,0,0,1
1975,500,0,0,0,1,1
1989,500,0,0,0,0,1
1990,500,0,0,0,1,1
1992,500,0,0,0,1,0
1993,500,0,0,0,1,1
1997,500,0,0,0,0,1
1998,500,0,0,0,1,1
2002,500,0,0,0,1,0
2003,500,0,0,0,1,1
2012,500,0,0,0,1,0
2013,500,0,0,0,1,1
2019,500,0,0,0,0,1
2021,500,0,0,0,1,1
2022,500,0,0,0,1,0
2023,500,0,0,0,1,1
2036,500,0,0,0,0,1
2037,500,0,0,0,1,1
2042,500,0,0,0,1,0
2043,500,0,0,0,1,1
2045,500,0,0,0,0,1
2046,500,0,0,0,1,1
2052,500,0,0,0,1,0
2053,500,0,0,0,1,1
2068,500,0,0,0,0,1
2069,500,0,0,0,1,1
2072,500,0,0,0,1,0
2073,500,0,0,0,1,1
2076,500,0,0,0,0,1
2077,500,0,0,0,1,1
2083,500,0,0,0,1,0
2084,500,0,0,0,1,1
2090,500,0,0,0,0,1
2091,500,0,0,0,1,1
2092,500,0,0,0,1,0
2094,500,0,0,0,1,1
2098,500,0,0,0,0,1
2100,500,0,0,0,1,1
2103,500,0,0,0,1,0
2104,500,0,0,0,1,1
2112,500,0,0,0,1,0
2114,500,0,0,0,1,1
2115,500,0,0,0,0,1
2116,500,0,0,0,1,1
2122,500,0,0,0,1,0
2124,500,0,0,0,1,1
2129,500,0,0,0,0,1
2130,500,0,0,0,1,1
2133,500,0,0,0,1,0
2134,500,0,0,0,1,1
2143,500,0,0,0,1,0
2144,500,0,0,0,1,1
2147,500,0,0,0,0,1
2148,500,0,0,0,1,1
2152,500,0,0,0,1,0
2154,500,0,0,0,0,1
2156,500,0,0,0,1,1
2162,500,0,0,0,1,0
2164,500,0,0,0,1,1
2169,500,0,0,0,0,1
2170,500,0,0,0,1,1
2173,500,0,0,0,1,0
2174,500,0,0,0,1,1
2177,500,0,0,0,0,1
2179,500,0,0,0,1,1
2193,500,0,0,0,1,0
2194,500,0,0,0,1,1
2201,500,0,0,0,0,1
2202,500,0,0,0,1,1
2203,500,0,0,0,1,0
2204,500,0,0,0,1,1
2208,500,0,0,0,0,1
2209,500,0,0,0,1,1
2225,500,0,0,0,0,1
2226,500,0,0,0,1,1
2233,500,0,0,0,1,0
2234,500,0,0,0,1,1
2239,500,0,0,0,0,1
2241,500,0,0,0,1,1
2243,500,0,0,0,1,0
2244,500,0,0,0,1,1
2248,500,0,0,0,0,1
2249,500,0,0,0,1,1
2253,500,0,0,0,1,0
2254,500,0,0,0,1,1
2256,500,0,0,0,0,1
2258,500,0,0,0,1,1
2263,500,0,0,0,1,0
2264,500,0,0,0,1,1
2271,500,0,0,0,0,1
2272,500,0,0,0,1,1
2273,500,0,0,0,1,0
2274,500,0,0,0,1,1
2280,500,0,0,0,0,1
2281,500,0,0,0,1,1
2283,500,0,0,0,1,0
2284,500,0,0,0,1,1
2293,500,0,0,0,1,0
2294,500,0,0,0,1,1
2310,500,0,0,0,0,1
2312,500,0,0,0,1,1
2313,500,0,0,0,1,0
2314,500,0,0,0,1,1
2318,500,0,0,0,0,1
2320,500,0,0,0,1,1
2324,500,0,0,0,1,0
2325,500,0,0,0,1,1
2327,500,0,0,0,0,1
2328,500,0,0,0,1,1
2333,500,0,0,0,1,0
2335,500,0,0,0,1,1
2336,500,0,0,0,0,1
2337,500,0,0,0,1,1
2343,500,0,0,0,1,0
2345,500,0,0,0,1,1
2350,500,0,0,0,0,1
2351,500,0,0,0,1,1
2354,500,0,0,0,1,0
2355,500,0,0,0,1,1
2359,500,0,0,0,0,1
2360,500,0,0,0,1,1
2363,500,0,0,0,1,0
2365,500,0,0,0,1,1
